source	target	type
产生抑郁症怎么治好	产生抑郁症怎么治好	positive
腹股沟淋巴结炎怎么治	腹股沟淋巴结炎怎么治	positive
富马酸奎流平骗有什么效果	富马酸喹硫平片有什么效果	negative
婴儿头疲有黄色结加怎么回事	婴儿头皮有黄色结痂怎么回事	negative
无创DNA什么时候做	无创DNA什么时候做	positive
苯妥英纳急性中毒的主要表现	苯妥英钠急性中毒的主要表现	negative
小儿支气管肺炎恢复期症状	小儿支气管肺炎恢复期症状	positive
人溜后吃木耳汤能让於血排出体外吗	人流后吃木耳汤能让淤血排出体外吗	negative
睑板腺功能障碍的按摩方法	睑板腺功能障碍的按摩方法	positive
颅内压降低临床表现	颅内压降低临床表现	positive
奥斯他维是什么药	奥斯他维是什么药	positive
伤口洁痂周围发烘怎么办	伤口结痂周围发红怎么办	negative
中枢神经细胞瘤有什么症状？	中枢神经细胞瘤有什么症状？	positive
胃不舒服口臭怎么办	胃不舒服口臭怎么办	positive
什么是弟重嗨性贫血病	什么是地中海性贫血病	negative
宫颈癌疫苗九价的费用	宫颈癌疫苗九价的费用	positive
小儿利君沙琥乙红霉素颗粒副作用	小儿利君沙琥乙红霉素颗粒副作用	positive
乙型肝炎病毒表面抗原阳性啥意思	乙型肝炎病毒表面抗原阳性啥意思	positive
老陈醋治疗骨质增生吗	老陈醋治疗骨质增生吗	positive
电中瘤的病因有哪些？	脑肿瘤的病因有哪些？	negative
新冠疫苗能管多长时间	新冠疫苗能管多长时间	positive
腰椎间盘突出经常做复位的后果	腰椎间盘突出经常做复位的后果	positive
急性鼻炎一般几天自愈	急性鼻炎一般几天自愈	positive
新生儿听力怎么测	新生儿听力怎么测	positive
剖腹产纱布拿掉后怎么护理	剖腹产纱布拿掉后怎么护理	positive
耳朵长血管瘤	耳朵长血管瘤	positive
真均生肺炎怎么办	真菌性肺炎怎么办	negative
乙型肝炎:孕期乙肝急性发作了该怎么办？	乙型肝炎:孕期乙肝急性发作了该怎么办？	positive
罂粟乙碘油的功能	罂粟乙碘油的功能	positive
割眼袋对眼睛有伤害吗	割眼袋对眼睛有伤害吗	positive
泰白咽酸二甲双瓜缓释片的功效与作用	泰白盐酸二甲双胍缓释片的功效与作用	negative
男性脑垂体瘤手术多少钱	男性脑垂体瘤手术多少钱	positive
什么是老年期精神分裂症？	什么是老年期精神分裂症？	positive
为什么来月经杜子变痛	为什么来月经肚子会痛	negative
持续低烧咳嗽怎么办	持续低烧咳嗽怎么办	positive
沸癌会引起手臂吴利吗	肺癌会引起手臂无力吗	negative
防治尿路结石的常用药物有哪些？	防治尿路结石的常用药物有哪些？	positive
掩睛痒揉了眼百都肿起来了怎么办	眼睛痒揉了眼白都肿起来了怎么办	negative
要痛:哪些人容易腰背通？	腰痛:哪些人容易腰背痛？	negative
肾的作用和功能是什么	肾的作用和功能是什么	positive
晚上喝一勺蜂密会发胖吗	晚上喝一勺蜂蜜会发胖吗	negative
孕期没忌口会崎形吗	孕期没忌口会畸形吗	negative
宝宝啦屎黑色的怎么回事	宝宝拉屎黑色的怎么回事	negative
早上刷牙额心吐酸水是怎么回事	早上刷牙恶心吐酸水是怎么回事	negative
泔染薪型冠状病毒什么症状	感染新型冠状病毒什么症状	negative
骨骼机损伤后同工美会高吗	骨骼肌损伤后同工酶会高吗	negative
icl近视瘦述的危害	icl近视手术的危害	negative
儿童发烧做梦说梦话怎么回事	儿童发烧做梦说梦话怎么回事	positive
扁桃体发炎化脓了可以吃葡萄吗	扁桃体发炎化脓了可以吃葡萄吗	positive
小儿澜尾炎如何治疗好	小儿阑尾炎如何治疗好	negative
劳力性呼吸困难常见于什么病	劳力性呼吸困难常见于什么病	positive
检查输精管阻塞多少钱	检查输精管阻塞多少钱	positive
霍奇金淋巴瘤的症状	霍奇金淋巴瘤的症状	positive
怀孕60天有胎芽无胎心正常吗	怀孕60天有胎芽无胎心正常吗	positive
官颈鳞状细胞线有什么症状？	宫颈鳞状细胞癌有什么症状？	negative
怎样促进小腿血液循坏	怎样促进小腿血液循环	negative
乳腺肿瘤良性恶性怎么鉴别	乳腺肿瘤良性恶性怎么鉴别	positive
直场腺瘤和植肠癌的区别	直肠腺瘤和直肠癌的区别	negative
脐带掉了还有黑色结痂怎么回事	脐带掉了还有黑色结痂怎么回事	positive
脚扭伤变紫是快好了吗	脚扭伤变紫是快好了吗	positive
颈锥病脑供血不足症状	颈椎病脑供血不足症状	negative
手上感染脚气怎么办	手上感染脚气怎么办	positive
肾结石微创手术痛不痛	肾结石微创手术痛不痛	positive
经腹会阴直肠癌根治术后盆底腹膜疝怎么办？	经腹会阴直肠癌根治术后盆底腹膜疝怎么办？	positive
静脉血常规是检查什么	静脉血常规是检查什么	positive
室行旱搏24小时15000次严重吗	室性早搏24小时15000次严重吗	negative
脖子粗甲狀腺正常怎么办	脖子粗甲状腺正常怎么办	negative
肝炎接吻会传染吗	肝炎接吻会传染吗	positive
包皮是不是一定要割	包皮是不是一定要割	positive
骨折后麻痛是怎么回事	骨折后麻痛是怎么回事	positive
眼睛突然刺痛溜泪是什么原因	眼睛突然刺痛流泪是什么原因	negative
听神经瘤手术后吃什么？	听神经瘤手术后吃什么？	positive
小孩鼻孕花黄怎么回事	小孩鼻子发黄怎么回事	negative
喉咙与鼻腔连接处干疼怎么办	喉咙与鼻腔连接处干疼怎么办	positive
扁桃体切除有什么危害	扁桃体切除有什么危害	positive
耳朵外部疼痛怎么回事	耳朵外部疼痛怎么回事	positive
绒毛染色体检查的意义	绒毛染色体检查的意义	positive
流出的孕曩是什么样的孕囊	流出的孕囊是什么样的孕囊	negative
打完脊灰亿苗多久可以确定安全不会致残	打完脊灰疫苗多久可以确定安全不会致残	negative
尿道损伤的主要表现	尿道损伤的主要表现	positive
痛凤喝苏打水可以吗	痛风喝苏打水可以吗	negative
慢跑多长时间开始消耗脂肪	慢跑多长时间开始消耗脂肪	positive
背部痤创用什么药膏	背部痤疮用什么药膏	negative
孕妇憋尿后小腹坠痛怎么回事	孕妇憋尿后小腹坠痛怎么回事	positive
肾宗合征出多热分期	肾综合征出血热分期	negative
骨拆恢复期感觉刺痛是怎么回事	骨折恢复期感觉刺痛是怎么回事	negative
一文了解：什么是骨软化症？	一文了解：什么是骨软化症？	positive
肾结石无疮手树费用	肾结石无创手术费用	negative
手腕骨断裂了怎么办	手腕骨断裂了怎么办	positive
脂肪肝各方面正常为什么肝掌还没消退	脂肪肝各方面正常为什么肝掌还没消退	positive
红心火龙果的功效与作用害处	红心火龙果的功效与作用害处	positive
非典型肺炎治愈后遗症	非典型肺炎治愈后遗症	positive
混良乏谎是什么病症	浑身发黄是什么病症	negative
温度计量体温多少正常	温度计量体温多少正常	positive
伤韩性心机炎症状	伤寒性心肌炎症状	negative
手腿脚发麻是什么原因	手腿脚发麻是什么原因	positive
孕妇酮体3个加号是什么意思	孕妇酮体3个加号是什么意思	positive
小便肠气发簧该怎么办	小便长期发黄该怎么办	negative
但囊泥沙结湿怎么消除	胆囊泥沙结石怎么消除	negative
惊恐障碍:哪些方法有助缓解压力？	惊恐障碍:哪些方法有助缓解压力？	positive
24小时皿压临测仪的使用方法	24小时血压监测仪的使用方法	negative
肛楼数后疼痛几天能好	肛瘘术后疼痛几天能好	negative
怀孕麦粒肿怎么消除	怀孕麦粒肿怎么消除	positive
高血压患者需要吃蛋百只粉吗	高血压患者需要吃蛋白质粉吗	negative
人流后可以喝玖瑰花茶吗	人流后可以喝玫瑰花茶吗	negative
肝上长东西是什么	肝上长东西是什么	positive
舌的味觉障碍可能受损的神经是什么	舌的味觉障碍可能受损的神经是什么	positive
脑挭塞病人吃啥好	脑梗塞病人吃啥好	negative
丙尖瓣、三尖辫轻度返流是什么病	二尖瓣、三尖瓣轻度反流是什么病	negative
家減婴儿面蓉忑征	甲减婴儿面容特征	negative
心慌拨豆无力怎么回事	心慌发抖无力怎么回事	negative
外克及病都有哪些	外科疾病都有哪些	negative
月径血呈黑色是怎么回事	月经血呈黑色是怎么回事	negative
脑血栓是怎么得的	脑血栓是怎么得的	positive
月经推迟还肚子疼怎么回事	月经推迟还肚子疼怎么回事	positive
蹬咯热去医院就医要注意什么？	登革热去医院就医要注意什么？	negative
怎么娇正上眼皮下垂	怎么矫正上眼皮下垂	negative
子宫肉留会不会转移	子宫肉瘤会不会转移	negative
上呼吸道包括哪些器官	上呼吸道包括哪些器官	positive
女生肾不好怎么回事	女生肾不好怎么回事	positive
不知不觉脲血怎么办	不知不觉尿血怎么办	negative
应激性肠焱怎么治疗	应激性肠炎怎么治疗	negative
肺炎能喝蜂蜜水吗	肺炎能喝蜂蜜水吗	positive
甲功三项正常还需要查五项吗	甲功三项正常还需要查五项吗	positive
男子姓功能减退怎么办	男子性功能减退怎么办	negative
直场癌看什么科	直肠癌看什么科	negative
宫腔镜息肉切除术需要多长时间	宫腔镜息肉切除术需要多长时间	positive
天天便血怎么办	天天便血怎么办	positive
面瘫洱后跟疼痛如何缓解	面瘫耳后根疼痛如何缓解	negative
如何彻底消灭幽门螺杆菌	如何彻底消灭幽门螺杆菌	positive
心梗的最佳治疗方法	心梗的最佳治疗方法	positive
脸伤痤创吃什么药	脸上痤疮吃什么药	negative
重金属值度型肾病去医院就医要注意什么？	重金属中毒性肾病去医院就医要注意什么？	negative
神经性贪食症:一文了解：什么是森径性贪食？	神经性贪食症:一文了解：什么是神经性贪食？	negative
鼻咽癌需要长期希比吗	鼻咽癌需要长期洗鼻吗	negative
晚上睡觉感觉头不舒服怎么回事	晚上睡觉感觉头不舒服怎么回事	positive
尿频艾灸哪些位置	尿频艾灸哪些位置	positive
肝硬化晚期能吃眼窝吗	肝硬化晚期能吃燕窝吗	negative
尿液茶色是怎么回事	尿液茶色是怎么回事	positive
妊娠糖尿病可安全使用的胰岛素类似物是什么	妊娠糖尿病可安全使用的胰岛素类似物是什么	positive
磕嗽心扣窝疼怎么回事	咳嗽心口窝疼怎么回事	negative
消苯他平缓释骗对肾脏损害吗	硝苯地平缓释片对肾脏损害吗	negative
怎么治憾疱诊	怎么治汗疱疹	negative
自我挫败型人格障碍去医院就医要注意什么？	自我挫败型人格障碍去医院就医要注意什么？	positive
班片摸糊影什么意思	斑片模糊影什么意思	negative
儿童有必要吃核桃油吗	儿童有必要吃核桃油吗	positive
宝宝突然尖较一声怎么回事	宝宝突然尖叫一声怎么回事	negative
牛黄甲销唑治什么病	牛黄甲硝唑治什么病	negative
宝宝留口氺是缺什么吗	宝宝流口水是缺什么吗	negative
急性心包炎后果是什么	急性心包炎后果是什么	positive
脆枣长胖吗	脆枣长胖吗	positive
药物硫产后吃什么笑炎要	药物流产后吃什么消炎药	negative
正常人的血唐值正常值	正常人的血糖值正常值	negative
发际线长痘怎么办	发际线长痘怎么办	positive
染埠偏摊萎缩有什么症状？面部偏瘫萎缩	面部偏瘫萎缩有什么症状？面部偏瘫萎缩	negative
如何预防Haqlnnd综合证？	如何预防Haglund综合征？	negative
怀运后怎么办	怀孕后怎么办	negative
天大实验室研制新冠肺焱疫苗成功了吗	天大实验室研制新冠肺炎疫苗成功了吗	negative
甲功五项tsh高是怎么回事	甲功五项tsh高是怎么回事	positive
正常人餐后两小时正常血糖值	正常人餐后两小时正常血糖值	positive
干硬化放腹水每次的量是多少	肝硬化放腹水每次的量是多少	negative
舌条受脚吗是怎么回事	舌头手脚麻是怎么回事	negative
女人的卵子一个月有多少个	女人的卵子一个月有多少个	positive
苦瓜补肾吗	苦瓜补肾吗	positive
上还后要卧床休息吗	上环后要卧床休息吗	negative
内痔外痔哪个严重	内痔外痔哪个严重	positive
壮腰健肾丸要空腹吃吗	壮腰健肾丸要空腹吃吗	positive
卵巢保养的好处	卵巢保养的好处	positive
宝宝耳剁里有黄油珥色怎么办	宝宝耳朵里有黄油耳屎怎么办	negative
如何治疗气道异物？	如何治疗气道异物？	positive
脑仲瘤早期怎么治疗	脑肿瘤早期怎么治疗	negative
宝宝拉肚子蛋花水样怎么办	宝宝拉肚子蛋花水样怎么办	positive
炮却头晕怎么回事	泡脚头晕怎么回事	negative
老年高血压患者的非药物治疗有哪些？	老年高血压患者的非药物治疗有哪些？	positive
拿到子宫机瘤P超报告，如何看懂	拿到子宫肌瘤B超报告，如何看懂	negative
如何治疗小肠桖管瘤？	如何治疗小肠血管瘤？	negative
无通诊真的不痛吗	无痛针真的不痛吗	negative
肺癌早期手臂小嘛吗	肺癌早期手臂发麻吗	negative
高烧眼芬泌物多是怎么回事	高烧眼分泌物多是怎么回事	negative
拉稀拉水但肚子不疼是什么原因	拉稀拉水但肚子不疼是什么原因	positive
饭后胃隐痛怎么治疗	饭后胃隐痛怎么治疗	positive
新生儿肺汽瘘的病因有哪些？	新生儿肺气漏的病因有哪些？	negative
艾滋病21天能排除多少	艾滋病21天能排除多少	positive
HPV6阳性是不是宫景癌	HPV6阳性是不是宫颈癌	negative
刀口发盐的初期症状	刀口发炎的初期症状	negative
脂防干脸色发黄吗	脂肪肝脸色发黄吗	negative
炫军症有哪些症状	眩晕症有哪些症状	negative
光破鼻子是怎么回事	光破鼻子是怎么回事	positive
怀孕不做塘氏可以吗	怀孕不做唐氏可以吗	negative
腹腔干动脉留有什么症状？	腹腔干动脉瘤有什么症状？	negative
失眠浑身燥热怎么回事	失眠浑身燥热怎么回事	positive
吴痛人硫术后需要休息几天	无痛人流术后需要休息几天	negative
腰椎骨骨折保守治疗一般需要多久	腰椎骨骨折保守治疗一般需要多久	positive
唐氏综盒证：哪些情况应及时就医？唐氏综合征	唐氏综合征：哪些情况应及时就医？唐氏综合征	negative
前庭大腺焱:妇科炎症药物治疗大盘点	前庭大腺炎:妇科炎症药物治疗大盘点	negative
肺有几个肺叶	肺有几个肺叶	positive
离心性环状红斑去医院就医要注意什么	离心性环状红斑去医院就医要注意什么	positive
吃头孢2小时后喝酒了怎么办	吃头孢2小时后喝酒了怎么办	positive
两个月宝宝六天没拉大梗怎么办	两个月宝宝六天没拉大便怎么办	negative
二胎剖腹产最佳孕周	二胎剖腹产最佳孕周	positive
嗓子疼可以抽烟吗	嗓子疼可以抽烟吗	positive
鸡血腾有什么作用	鸡血藤有什么作用	negative
习惯性腹泻的概述	习惯性腹泻的概述	positive
幼儿急疹长在哪里	幼儿急疹长在哪里	positive
长效姨岛素好还是短效胰鸟素好	长效胰岛素好还是短效胰岛素好	negative
怎么缓解头晕恶心	怎么缓解头晕恶心	positive
减脂肪饮食注意事项	减脂肪饮食注意事项	positive
梨状肌综合征会瘫痪吗	梨状肌综合征会瘫痪吗	positive
儿童有过敏性哮喘怎么办	儿童有过敏性哮喘怎么办	positive
杆纤维板层癌有什么症状？	肝纤维板层癌有什么症状？	negative
什么是室颤	什么是室颤	positive
视网膜裂孔激光封闭后注意事项	视网膜裂孔激光封闭后注意事项	positive
视神经性脊随谈传染么	视神经性脊髓炎传染么	negative
宝宝有点鼻塞可以打预防针吗	宝宝有点鼻塞可以打预防针吗	positive
瞌睡越睡越多的原因	瞌睡越睡越多的原因	positive
如何治疗小儿轮状病毒性肠炎？	如何治疗小儿轮状病毒性肠炎？	positive
婴儿湿疹能用金银花水洗脸吗	婴儿湿疹能用金银花水洗脸吗	positive
胎儿胆曩偏大是畸形吗	胎儿胆囊偏大是畸形吗	negative
四维是上午做还是下午做	四维是上午做还是下午做	positive
尻露感染看妇科吗	尿路感染看妇科吗	negative
肾赃病的症状	肾脏病的症状	negative
男性必须要隔波吗	男性必须要割皮吗	negative
总咳嗽不好是什么原因	总咳嗽不好是什么原因	positive
肺那凶氨多少钱	非那雄胺多少钱	negative
为什么怀孕初期会失眠	为什么怀孕初期会失眠	positive
脑卒中怎么治	脑卒中怎么治	positive
视力修复手术价格多少	视力修复手术价格多少	positive
房间隔缺损修补术价格	房间隔缺损修补术价格	positive
孕妇吃蒸苹果能治拉肚子吗	孕妇吃蒸苹果能治拉肚子吗	positive
上环通房鼻血怎么回事	上环同房出血怎么回事	negative
先心病房间嗝缺损10nm怎么治	先心病房间隔缺损10mm怎么治	negative
右肩甲骨里面疼是不是喦症的信号	右肩胛骨里面疼是不是癌症的信号	negative
胃、十二指肠溃疡穿孔有什么症状？	胃、十二指肠溃疡穿孔有什么症状？	positive
左边胸隐隐作痛怎么办	左边胸隐隐作痛怎么办	positive
新形冠状病毒肺炎柴外浅消毒有用吗	新型冠状病毒肺炎紫外线消毒有用吗	negative
体温36.6℃正常吗	体温36.6℃正常吗	positive
治疗散瞳药水	治疗散瞳药水	positive
八珍益母片有什么功效	八珍益母片有什么功效	positive
肝品:“玛皃领酸致癌”：证据确凿还是空穴来风？	肝癌:“马兜铃酸致癌”：证据确凿还是空穴来风？	negative
怀孕初期吃叶酸会导致流产吗	怀孕初期吃叶酸会导致流产吗	positive
工们口疼痛是什么原因引起的	肛门口疼痛是什么原因引起的	negative
褪部谁肿怎么办	腿部水肿怎么办	negative
惊恐障碍:一文读懂：不同类型焦虑障碍的表现	惊恐障碍:一文读懂：不同类型焦虑障碍的表现	positive
