source	target	type
河道综合治理完成之后，将为两河周边生态环境的进一步提升打好基础，并将成为绵阳境内的又一个重要旅游景点。	河道综合治理完成之后，将为两河周边生态环境的进一步提升打好基础，并将成为绵阳境内的又一个重要旅游景点。	positive
员工们带着深深的关怀和祝福，为饱受疾病折磨的小博轩献爱心捐善款，帮助小博轩和他的家庭解决一些治疗费用，早日康复。	员工们带着深深的关怀和祝福，为饱受疾病折磨的小博轩献爱心捐善款，帮助小博轩和他的家庭解决一些治疗费用，早日康复。	positive
能否促进中部地区崛起，对推动新型工业化、信息化、城镇化和农业现代化协调发展，支撑经济中高速增长，具有重要意义。	能否促进中部地区崛起，对推动新型工业化、信息化、城镇化和农业现代化协调发展，支撑经济中高速增长，具有重要意义。	positive
现行体育中考的弊端已非常明显--在应试化的体育教学中，学生倾向于短期突击为主，学校也专攻考试项目，兴奋剂也开始大行其道。	现行体育中考的弊端已非常明显--在应试化的体育教学中，学生倾向于短期突击为主，学校也专攻考试项目，兴奋剂也开始大行其道。	positive
明年上海春季高考将探索一名考生同时被两所高校录取的招生，但考生必须在规定时间内到其中一所高校进行录取确认，这与传统意义上的平行志愿录取模式有所区别。	明年上海春季高考将探索一名考生同时被两所高校录取的招生，但考生必须在规定时间内到其中一所高校进行录取确认，这与传统意义上的平行志愿录取模式有所区别。	positive
喜欢苏东坡最先是由他的诗文开始的。对于我们，用什么样的溢美之词苏子诗文都不觉得有过。	喜欢苏东坡最先是由他的诗文开始。对于我们，用什么样的溢美之词赞美苏子的诗文都不觉得过分。	negative
《我和我的祖国》讲述了新中国成立70年间普通百姓与共和国息息相关的故事，以小人物见证大时代，献礼新中国成立70周年献礼片。	《我和我的祖国》讲述了新中国成立70年间普通百姓与共和国息息相关的故事，以小人物见证大时代，新中国成立70周年献礼片。	negative
紧急避险造成损害，是指行为人在遭到紧急危难的情况下，为避免或救护一个较大的合法权益使之不受损害，不得已面对某一较小的利益所致的损害。	紧急避险造成损害，是指行为人在遭到紧急危难的情况下，为避免或救护一个较大的合法权益使之不受损害，不得已面对某一较小的利益所致的损害。	positive
8月15日是日本战败投降纪念日，日本放送协会近日播放相关纪录片，破天荒地第一次公开731部队成员逾20小时的“认罪录音”。	8月15日是日本战败投降纪念日，日本放送协会近日播放相关纪录片，破天荒地第一次公开731部队成员逾20小时的“认罪录音”。	positive
制订目标是为了达到目标，目标制订好之后，就要付诸于行动去实现它，否则，所制订的目标就成了毫无意义的东西。	制定目标是为了达到目标，目标制定好之后，就要付诸行动去实现它，否则，所制定的目标就成了毫无意义的东西。	negative
中国万米级全海深潜水器，预计在2020年前往马丽亚纳海沟进行下潜，潜水器每平方厘米都将要承受1.1吨的压强，能否保证三位潜航员的安全，是潜水器控制系统的关键。	中国万米级全海深潜水器，预计在2020年前往马里亚纳海沟进行下潜，潜水器每平方厘米都将要承受1.1吨的压强，能否保证三位潜航员的安全，是潜水器控制系统的关键。	negative
各地纷纷采取追踪病源、隔离观察等措施，防止甲型H1N1流感不再扩散。	各地纷纷采取追踪病源、隔离观察等措施，防止甲型H1N1流感再次扩散。	negative
煨桑是一种既古老又普遍的藏俗，有着固定的仪式：先把柏树枝和香草堆在山头或河岸的空地上，中间放上糌粑或五谷，然后洒上几滴水，点燃以祭神灵。	煨桑是一种既古老又普遍的藏俗，有着固定的仪式：先把柏树枝和香草堆在山头或河岸的空地上，中间放上糌粑或五谷，然后洒上几滴水，点燃以祭神灵。	positive
班主任严肃处置了小明欺负班上弱小同学。	班主任严肃处理了小明欺负班上弱小同学。	negative
“加拿大一枝花”是典型的外来入侵物种，它正迅速在许多地区暴发、扩张、定居，危害我国生态安全。	“加拿大一枝花”是典型的外来入侵物种，它正迅速在许多地区暴发、扩张、定居，危害我国生态安全。	positive
不管是普及的程度还是比赛的数量和质量，同一些欧美国家相比，中国的盲人足球运动都还相去甚远。	不管是普及的程度还是比赛的数量和质量，同一些欧美国家相比，中国的盲人足球运动都还相去甚远。	positive
由于网络的互动性、网民的广泛参与性，使音乐的传播方式发生了革命性变化，任何人都可以通过网络创作、发布自己的音乐作品。	由于网络的互动性、网民的广泛参与性，使音乐的传播方式发生了革命性变化，任何人都可以通过网络创作、发布自己的音乐作品。	positive
“辽宁舰”的舰员在选拔时，年龄、任职时间、现实表现等方面都有着严格的规定，入选者还要经过一系列的理论和技术培训才能成为合格的舰员。	“辽宁舰”的舰员在选拔时，年龄、任职时间、现实表现等方面都有着严格的规定，入选者还要经过一系列的理论和技术培训才能成为合格的舰员。	positive
电视剧《人民的名义》受广大观众欢迎的原因，不仅因为剧情跌宕、演员表演精彩，更因为它反映了当前中国的反腐斗争。	电视剧《人民的名义》受广大观众欢迎的原因，不仅因为剧情跌宕、演员表演精彩，更因为它反映了当前中国的反腐斗争。	positive
在实施全面二孩政策之后，新生人口必然会增长，这一方面将会改变现有的家庭结构，另一方面也会减轻适龄劳动人口赡养老年人的负担和职责。	在实施全面二孩政策之后，新生人口必然会增长，这一方面将会改变现有的家庭结构，另一方面也会减轻适龄劳动人口赡养老年人的负担和职责。	positive
关于高考改革，有评论者认为，教育最大的价值在于公平与否，改革最应捍卫的目标也是公平。	关于高考改革，有评论者认为，教育最大的价值在于公平与否，改革最应捍卫的目标也是公平。	positive
不但《炼金术士》这部难得的优秀作品赢得了批评界专家们的称道，而且获得了文学市场的成功。	不但《炼金术士》这部难得的优秀作品赢得了批评界专家们的称道，而且获得了文学市场的成功。	positive
“致儿童时代”丛书首发式暨作家见面会将在8月份的书展上和读者见面，届时六位明星作家将亲临现场朗读经典作品，并和读者们互动。	“致儿童时代”丛书首发式暨作家见面会将在8月份的书展上和读者见面，届时六位明星作家将亲临现场朗读经典作品，并和读者们互动。	positive
作为一个新兴的又富有生命力的行业，不仅电子商务在一定程度上改变了人类的生活方式，也冲击了历史悠久的传统商业模式。	作为一个新兴的又富有生命力的行业，不仅电子商务在一定程度上改变了人类的生活方式，也冲击了历史悠久的传统商业模式。	positive
此次建筑人员坠亡事故调查结论表明，施工单位指挥不当和现场管理人员的违章操作，导致了这起事故的直接发生。	此次建筑人员坠亡事故调查结论表明，施工单位指挥不当和现场管理人员的违章操作，导致了这起事故的直接发生。	positive
我们的校长常常接待许多学生家长的来访和来信。	我们的校长常常接待许多学生家长的来访和来信。	positive
中俄关系已进入互相提供重要发展机遇、互为主要优先合作伙伴。在发展双边关系、处理重大国际和地区问题上，两国的契合点很多，合作共赢的机会很多。	中俄关系已进入互相提供重要发展机遇、互为主要和优先的合作伙伴。在发展双边关系、处理重大国际和地区问题上，两国的契合点很多，合作共赢的机会很多。	negative
据国际阿尔茨海默病协会报告，中国阿尔茨海默病患者超1000万左右。这个数据背后的原因值得每个人思考。	据国际阿尔茨海默病协会报告，中国阿尔茨海默病患者超1000万左右。这个数据背后的原因值得每个人思考。	positive
朱自清在漫步荷塘时感到的自由，在性质上是一种伦理的“自由”，是摆脱了作为丈夫、父亲、儿子潜在意识里的伦理，向往自由的流露，和政治性的自由是没有直接关系的。	朱自清在漫步荷塘时感到的自由，在性质上是一种伦理的“自由”，是摆脱了作为丈夫、父亲、儿子潜在意识里的伦理，向往自由的流露，和政治性的自由是没有直接关系的。	positive
十八大对未来几年的国家战略进行了调整，但改革开放政策是必须坚持的，因为中国自从实行了改革开放政策以后，综合国力和民族自信心都大大增强了。	十八大对未来几年的国家战略进行了调整，但改革开放政策是必须坚持的，因为中国自从实行了改革开放政策以后，综合国力和民族自信心都大大增强了。	positive
醉酒驾驶电动车比酒后驾驶机动车的危险性还要大，为了预防交通事故不再发生，交警部门将严查醉酒驾驶电动车的违法行为。	醉酒驾驶电动车比酒后驾驶机动车的危险性还要大，为了预防交通事故不再发生，交警部门将严查醉酒驾驶电动车的违法行为。	positive
南昌大学江风益教授带领的研究队伍，创造性地发展了新LED照明技术路线及完整的自主知识产权，改变了日、美等国垄断LED照明核心技术的局面。	南昌大学江风益教授带领的研究队伍，创造性地发展了新LED照明技术路线及完整的自主知识产权，改变了日、美等国垄断LED照明核心技术的局面。	positive
当今世界，大幅的电影海报随处可见，每日播出的电视连续剧成为街谈巷议，影枧明星提供者娱乐新闻，引领流行时尚。	当今世界，大幅的电影海报随处可见，每日播出的电视连续剧成为街谈巷议，影星明星提供娱乐新闻，引领流行时尚。	negative
为切实解决城镇中小学大班额问题，促进教育优质均衡发展，我市进一步聚焦突出问题和明显短板，加快学校建设和改革创新的力度。	为切实解决城镇中小学大班额问题，促进教育优质均衡发展，我市进一步聚焦突出问题和明显短板，加快学校建设和改革创新的力度。	positive
按照五中全会精神落实并制定好“十三五”规划，奋力弥补生态环境方面的短板，相信到2020年，小康“木桶”里盛满的甘甜之水，将提升人们的发展获得感和生活幸福感。	按照五中全会精神落实并制定好“十三五”规划，奋力弥补生态环境方面的短板，相信到2020年，小康“木桶”里盛满的甘甜之水，将提升人们的发展获得感和生活幸福感。	positive
某网站就居民关注的社会问题和收入分配、居民住房、社会治安等展开调查，结果显示，“收入分配”以82.48%的关注度高居榜首。	某网站就居民关注的社会问题和收入分配、居民住房、社会治安等展开调查，结果显示，“收入分配”以82.48%的关注度高居榜首。	positive
公安局长以自己的亲身经历为素材拍成的短片作为教材，供公安干警学习，要求他们从中学到识别和抓捕罪犯的技能以及自我保护的本领。	公安局长以自己的亲身经历为素材拍成的短片作为教材，供公安干警学习，要求他们从中学到识别和抓捕罪犯的技能以及自我保护的本领。	positive
即使在“说谎成风”的时期，人对自己也不会讲假话，何况在今天，我不怕大家嘲笑，我要说：我怀念包弟，我想向它表示道歉。	即使在“说谎成风”的时期，人对自己也不会讲假话，何况在今天，我不怕大家嘲笑，我要说：我怀念包弟，我想向它表示道歉。	positive
这次从重庆前往南极考察的共10人，他们都是重庆人，平均年龄近50岁左右，组织他们前往的是位于渝北的一家旅游机构。	这次从重庆前往南极考察的共10人，他们都是重庆人，平均年龄50岁左右，组织他们前往的是位于渝北的一家旅游机构。	negative
老丁大约六十岁上下，可是身体非常硬朗。	老丁大约六十岁上下，可是身体非常硬朗。	positive
美国惠普公司生产的超级计算机依旧最多，但已从上一期的127台降至112台．不过，如果算上该公司新近收购的硅图公司所生产的入榜超算，总数则达到一百四十多台。	美国惠普公司生产的超级计算机依旧最多，但已从上一期的127台降至112台。不过，如果算上该公司新近收购的硅图公司所生产的入榜超算，总数则达到一百四十多台。	negative
走到屋外，迎面吹来的寒风，不禁打个冷战，我的头脑也清醒了很多。	走到屋外，迎面吹来的寒风，我不禁打了个冷战，头脑也清醒了很多。	negative
在她的摄影生涯中，从对特定历史食物的关注，到对山水、民俗的喜爱，从单一的风光摄影，到具有探究性质的专题摄影，这一改变已跨越了普通审美的范畴。	在她的摄影生涯中，从对特定历史事物的关注，到对山水、民俗的喜爱，从单一的风光摄影，到具有探究性质的专题摄影，这一改变已跨越了普通审美的范畴。	negative
由于近几个月国际原油价格大跌，给美国的页岩油气公司带来了巨大的经营压力，最后导致美国石油工人发起了一场大规模的罢工运动。	由于近几个月国际原油价格大跌，给美国的页岩油气公司带来了巨大的经营压力，最后导致美国石油工人发起了一场大规模的罢工运动。	positive
只有紧紧把握产业变革带来的质量提升，我国才有望实现制造业跨越式发展，加快提升中国制造的内涵价值与国际声誉。	只有紧紧把握产业变革带来的质量提升，我国才有望实现制造业跨越式发展，加快提升中国制造的内涵价值与国际声誉。	positive
来这里聚会的无论老少，都被他清晰的思路、开朗的性格、乐观的情绪及坚定的信心深深地感染了。	来这里聚会的无论老少，都被他清晰的思路、开朗的性格、乐观的情绪及坚定的信心深深地感染了。	positive
北京、上海等一线城市，或许能暂时维持楼市繁荣；而那些二、三线城市，辐射能力有限，潜在的楼市风险是显而易见的。	北京、上海等一线城市，或许能暂时维持楼市繁荣；而那些二、三线城市，辐射能力有限，潜在的楼市风险是显而易见的。	positive
此次活动共举办主题讲座五场，听众达千余人左右，这对提高公众遵纪守法的自觉性，自觉抵制各种不良行为的侵害，起到了警示教育作用。	此次活动共举办主题讲座五场，听众达千余人左右，这对提高公众遵纪守法的自觉性，自觉抵制各种不良行为的侵害，起到了警示教育作用。	positive
整个村庄的人们在经过了近两年的等待以后，村前的柏油路才终于修通了。	整个村庄的人们在经过了近两年的等待以后，村前的柏油路才终于修通了。	positive
航天员陈冬的两个双胞胎儿子“给这个小朋友5颗星星、那个小朋友3颗星星，给老师月亮”的许诺让陈冬发愁了．陈冬说，“幸好后来想到我这次在太空拍了很多星星的照片，可以把这些照片作为礼物送给他们．”。	航天员陈冬的双胞胎儿子“给这个小朋友5颗星星、那个小朋友3颗星星，给老师月亮”的许诺让陈冬发愁了。陈冬说，“幸好后来想到我这次在太空拍了很多星星的照片，可以把这些照片作为礼物送给他们。”。	negative
自债务危机爆发以来，希腊已经将养老金削减近半，但由于制度建设不完善以及社会化程度不足等因素，导致养老金占财政支出比例至今仍居高不下。	自债务危机爆发以来，希腊已经将养老金削减近半，但由于制度建设不完善以及社会化程度不足等因素，导致养老金占财政支出比例至今仍居高不下。	positive
春节是合家团圆的节日，但对于入住养老院的老人看来，春节往往是情绪波动的敏感期，一些老人会因无法与家人团聚而闹情绪。	春节是合家团圆的节日，但对于入住养老院的老人看来，春节往往是情绪波动的敏感期，一些老人会因无法与家人团聚而闹情绪。	positive
由于规划周密、准备充分，2008年在北京举办的第29届奥运会成为奥运会中历届参赛国最多、开幕式演艺最精彩的一次盛会，好评如潮。	由于规划周密、准备充分，2008年在北京举办的第29届奥运会成为奥运会中历届参赛国最多、开幕式演艺最精彩的一次盛会，好评如潮。	positive
政府建成了城市书吧和农家书屋，为城乡百姓提供了丰富的读书体验。	政府建成了城市书吧和农家书屋，为城乡百姓提供了丰富的读书体验。	positive
在“一带一路”战略指导下，企业海外投资日渐频繁，这就给中国企业在海外不成为别人知识产权制度的牺牲品带来机遇。	在“一带一路”战略指导下，企业海外投资日渐频繁，这就给中国企业在海外避免成为其他国家知识产权制度的受害者带来机遇。	negative
李守镇委员说，要变成制造强国，建设高素质产业工人队伍、打造更多“大国工匠”是当务之急的工作。	李守镇委员说，要变成制造强国，建设高素质产业工人队伍、打造更多“大国工匠”是当务之急的工作。	positive
“抢红包”是“娱乐产移动互联网时代的一个品”，全民“抢红包”这一现象在某种程度上也体现了“社交革命”，不仅影响着人们的过节方式，也影响到了人们的生活。	“抢红包”是“娱乐产品，是移动互联网时代的一个产物”，全民“抢红包”这一现象在某种程度上也体现了“社交革命”，不仅影响着人们的过节方式，也影响到了人们的生活。	negative
球员在此次中荷对垒中的表现，不仅关系到个人的前途，而是关系到国家队的声誉。	球员在此次中荷对垒中的表现，不仅关系到个人的前途，而且关系到国家队的声誉。	negative
掺杂使假、农药残留、重金属超标等问题的出现，不仅成为困扰行业发展的难题，阻碍了中医药“走出去”，而且影响中医药疗效，降低公众对中医药的信任。	掺杂使假、农药残留、重金属超标等问题的出现，不仅成为困扰行业发展的难题，阻碍了中医药“走出去”，而且影响中医药疗效，降低公众对中医药的信任。	positive
小说是人生的“百科全书”。阅读小说，可以开阔视野或陶冶情操，提高我们的文化素养或者提高审美能力。	小说是人生的“百科全书”。阅读小说，可以开阔视野或陶冶情操，提高我们的文化素养或者提高审美能力。	positive
在“追风的孩子”微电影比赛中，通过学生们超乎想象的创意、丰富多彩的内容、极具特色的表演，带给全校师生极大的惊喜。	在“追风的孩子”微电影比赛中，凭借学生们超乎想象的创意、丰富多彩的内容、极具特色的表演，带给全校师生极大的惊喜。	negative
党中央提出一系列新理念新思想新战略，出台一系列重大方针政策，推进一系列重大举措，推出一系列重大工作，解决了许多长期想解决而没有解决的难题。	党中央提出一系列新理念新思想新战略，出台一系列重大方针政策，推进一系列重大举措，推出一系列重大工作，解决了许多长期想解决而没有解决的难题。	positive
不仅伟大奋斗精神在为中国发展注入持久动力，更是为世界文明进程提供一种深刻的中国启示。	不仅是伟大奋斗精神在为中国发展注入持久动力，更是为世界文明进程提供一种深刻的中国启示。	negative
“心想事成”是近年来使用频率最高的祝辞，它不仅普遍用于节日，而且被广泛用在书信里，还经常见诸于报端，成为一种“廉价礼品”。	“心想事成”是近年来使用频率最高的祝辞，它不仅普遍用于节日，而且被广泛用在书信里，还经常见诸于报端，成为一种“廉价礼品”。	positive
平等共容作为社会工作的目标价值，既体现在社会工作的精神层面，也体现在物质层面，是平等共享国家发展成果，践行社会主义核心价值体系的重要途径。	平等共容作为社会工作的目标价值，既体现在社会工作的精神层面，也体现在物质层面，是平等共享国家发展成果，践行社会主义核心价值体系的重要途径。	positive
制假售假、短斤缺两、强买强卖等行为损坏了消费者的利益，历来为人们所痛斥，清代对短斤缺两的惩处便极为严厉。	制假售假、短斤缺两、强买强卖等行为损坏了消费者的利益，历来为人们所痛斥，清代对短斤缺两的惩处便极为严厉。	positive
朱自清笔下的荷塘月色是美好的，他精雕细琢这一美景时，虽然文章的描写很细致，但没有丝毫的过分，把握得分毫不差。	朱自清笔下的荷塘月色是美好的，他精雕细琢这一美景时，虽然文章的描写很细致，但没有丝毫过分，把握得分毫不差。	negative
雄安新区建设要充分体现生态文明建设，成为生态标杆，坚持生态优先、绿色发展，要疏密有度、绿色低碳，自然生态要更好。	雄安新区建设要充分体现生态文明建设，成为生态标杆，坚持生态优先、绿色发展，要疏密有度、绿色低碳，自然生态要更好。	positive
林徽因是学建筑的，所以对文学的兴趣极其浓厚，她精于鉴赏。所写散文如《窃子以外》和小说如《九十九度中》风格清新，一时无二。	林徽因是学建筑的，所以对文学的兴趣极其浓厚，她精于鉴赏。所写散文如《窗子以外》和小说如《九十九度中》风格清新，一时无二。	negative
我们看到，博物馆正致力于观众进行深层次、多角度良性互动，如举办博物馆日主题论坛等活动，让更多人参与文物保护和利用。	我们看到，博物馆正致力于观众进行深层次、多角度良性互动，如举办博物馆日主题论坛等活动，让更多人参与文物保护和利用。	positive
生态教育涵盖各个教育层面，包含学校教育、社会教育、职业教育，教育对象包括决策者、企业家、科技工作者、普通公民。	生态教育涵盖各个教育层面，包含学校教育、社会教育、职业教育，教育对象包括决策者、企业家、科技工作者、普通公民。	positive
在《蜗居》这种现实题材小说里我们看到的更多的是无奈、压抑，而在“穿越小说”中表现的是一种美好的情怀，让人很有自信。	在《蜗居》这种现实题材小说里我们看到的更多的是无奈、压抑，而在“穿越小说”中表现的是一种美好的情怀，让人很有自信。	positive
地球是我们的家，我们的母亲，人类是在这里成长和诞生的，是在这里成熟起来的。	地球是我们的家，我们的母亲，人类是在这里成长和诞生的，是在这里成熟起来的。	positive
环保事件之所以经常性的频频发生，有专家分析认为，主要是由于一些地方政府单纯地依靠在规模投入获取经济增长速度，使得资源消耗惊人，环境污染日渐严重。	环保事件之所以频繁发生，有专家分析认为，主要是由于一些地方政府单纯地依靠在规模上的投入获取经济增长速度，使得资源消耗惊人，环境污染日渐严重。	negative
美国的战略思维就是要与对手在主要武器装备上拉开一到两代的距离，而“福特”号的研制就是希望保持其他国家两代以上的差距。	美国的战略思维就是要与对手在主要武器装备上拉开一到两代的距离，而“福特”号的研制就是希望保持其他国家两代以上的差距。	positive
一年来，省部级高官频频落马显示了新一届党中央的反腐决心，但“打几只老虎”仅仅是第一步，当务之急的工作是建立一整套行之有效的反腐机制。	一年来，省部级高官频频落马显示了新一届党中央的反腐决心，但“打几只老虎”仅仅是第一步，当务之急的工作是建立一整套行之有效的反腐机制。	positive
在奇瑞的焊装车间，记者看到，一台台机器人正在生产线上焊接、抓取、传递，井井有条。	在奇瑞的焊装车间，记者看到，一台台机器人正在生产线上焊接、抓取、传递，井井有条。	positive
一部分家长过分溺爱孩子，使许多学生缺乏自制力，生活上互相攀比。	一部分家长过分溺爱孩子，使许多学生缺乏自制力，生活上相互攀比。	negative
我们都知道，民主与法治是一个长期的过程，但在经济攻坚之后，现在确实已经到了向新目标攻坚的时候了。	我们都知道，民主与法治是一个长期的过程，但在经济攻坚之后，现在确实已经到了向新目标攻坚的时候了。	positive
“双十一”临近，商家打折促销，减价的标牌随处可见，三折、四折、甚至五折，平日里价格不菲的商品此时显得格外诱人。	“双十一”临近，商家打折促销，减价的标牌随处可见，三折、四折、甚至五折，平日里价格不菲的商品此时显得格外诱人。	positive
我们要动员社会各界广泛参与家庭文明建设，推动形成爱国爱家、相亲相爱、向上向善、共建共享的社会主义家庭。	我们要动员社会各界广泛参与家庭文明建设，推动形成爱国爱家、相亲相爱、向上向善、共建共享的社会主义家庭。	positive
奥运圣火登顶珠峰的瞬间，无论是参与登顶的勇士，还是全世界观看这一壮举的人们，无不毫无例外地感受到了心灵的震撼。	奥运圣火登顶珠峰的瞬间，无论是参与登顶的勇士，还是全世界观看这一壮举的人们，无不例外地感受到了心灵的震撼。	negative
人大代表提议，我国应加快铁路投资体制改革，修改铁路法、担保法等相关法律，制定详细的优惠政策，填补民间资本参与铁路建设的法律。	人大代表提议，我国应加快铁路投资体制改革，修改铁路法、担保法等相关法律，制定详细的优惠政策，填补民间资本参与铁路建设的法律空白。	negative
我国的“实践十三号卫星”首次应用Ka频段多波束宽带通信系统，其通信总容量约达20G以上。	我国的“实践十三号卫星”首次应用Ka频段多波束宽带通信系统，其通信总容量约达20G以上。	positive
南宁市邕宁区扶贫技术局负责人杨素琴介绍，通过发展中草药种植产业，屯了村实现脱贫111户，贫困发生率约为2.92%左右，实现了整村脱贫摘帽。	南宁市邕宁区扶贫技术局负责人杨素琴介绍，通过发展中草药种植产业，屯里村实现脱贫111户，贫困发生率约为2.92%左右，实现了整村脱贫摘帽。	negative
路遥的小说之所以有如此的魅力和境界的原因，是因为他所具有的超拔识见和文学智慧，以及对生活切实的体验感受和坚苦卓绝的创作精神。	路遥的小说之所以有如此的魅力和境界，是因为他所具有的超拔识见和文学智慧，以及对生活切实的体验感受和艰苦卓绝的创作精神。	negative
这支唱不完的歌声，一直在人们的耳际、心头荡漾着。	这支唱不完的歌声，一直在人们的耳际、心头荡漾着。	positive
我国传统的“二十四节气”被列入《人类非物质文化遗产代表作名录》，使得这一古老的文明再次吸引了世人的目光。	我国传统的“二十四节气”被列入《人类非物质文化遗产代表作名录》，使得这一古老的文明再次吸引了世人的目光。	positive
