source	target	type
接着脂肪肝中心秘书朱姗姗主治医师医师汇报了一例诊断为：非酒精性脂肪肝、2型糖尿病、2级高血压的患者临床资料，与会的专家通过进一步详细了解患者相关病情资料、动态生化检测结果等，经过讨论最后为患者制定了下一步诊疗意见及措施。	接着脂肪肝中心秘书朱姗姗主治医师汇报了一例诊断为：非酒精性脂肪肝、2型糖尿病、2级高血压的患者临床资料，与会的专家通过进一步详细了解患者相关病情资料、动态生化检测结果等，经过讨论最后为患者制定了下一步诊疗意见及措施。	negative
王小姐之前在这间服装店帮她丈夫买了一件衬衫，买之前不清楚码数适不适合，所以有些犹豫，知道店铺加入了“七天无理由退货”后，王小姐果断帮他丈夫买了这件衬衫。	王小姐之前在这间服装店帮她丈夫买了一件衬衫，买之前不清楚码数适不适合，所以有些犹豫，知道店铺加入了“七天无理由退货”后，王小姐果断帮她丈夫买了这件衬衫。	negative
有意请联系电话：1894737756915134867148，价格面议（8.28）▶【卖房】出售:伊旗亿成B区一楼135平米，简单装修，带车位，房本过户，售价:92万，彩光很好，前面小广场。	有意请联系电话：1894737756915134867148，价格面议（8.28）▶【卖房】出售:伊旗亿成B区一楼135平米，简单装修，带车位，房本过户，售价:92万，采光很好，前面小广场。	negative
应休未修年休假、综合考核奖、编外人员工资等追加经费；	应休未休年休假、综合考核奖、编外人员工资等追加经费；	negative
莆田市分行共获批水利建设项目贷款款19个，金额105.3亿元，累计投放35.85亿元；	莆田市分行共获批水利建设项目贷款19个，金额105.3亿元，累计投放35.85亿元；	negative
检査人员在药店现场查看了防疫用品及药品明码标价情况，询问口罩、酒精、测温计等防疫用品近期供销变化及价格波动情况，并提醒经营者主动承担市场主体责任，自觉遵守国家价格法律法规，主动做好商品明码标价。	检查人员在药店现场查看了防疫用品及药品明码标价情况，询问口罩、酒精、测温计等防疫用品近期供销变化及价格波动情况，并提醒经营者主动承担市场主体责任，自觉遵守国家价格法律法规，主动做好商品明码标价。	negative
正如习近平总书记说的那样各民族要像石榴仔那样紧紧地抱在一起才能实现伟大的中国梦。	正如习近平总书记说的那样各民族要像石榴籽那样紧紧地抱在一起才能实现伟大的中国梦。	negative
表面处理彩用符合SGS要求的环保塑分脱脂，	表面处理采用符合SGS要求的环保塑分脱脂，	negative
该法律文书确定：一、源坤控股集团股份有限公司于本裁决生效之日起五日内支付张琪二0一八年七月一日至二0一八年十一月三十日工资七万五千元；	该法律文书确定：一、源坤控股集团股份有限公司于本裁决生效之日起五日内支付张琪二〇一八年七月一日至二〇一八年十一月三十日工资七万五千元；	negative
申请条件申请稳岗返还的企业应同时具各以下条件:生产经营活动符合国家及所在区域产业结构调整和环保政策；	申请条件申请稳岗返还的企业应同时具备以下条件:生产经营活动符合国家及所在区域产业结构调整和环保政策；	negative
人民银行重庆营业管理部数据显示，截至2021年11月末，全市农村土地经营、农房财产权、林权等产权抵押融资余额达106亿元。	人民银行重庆营业管理部数据显示，截至2021年11月末，全市农村土地经营权、农房财产权、林权等产权抵押融资余额达106亿元。	negative
该案是2021年3月1日《中华人民共和国刑法修正案（十一）》事实以来，乌达区法院判处的辖区首例袭警罪案件。	该案是2021年3月1日《中华人民共和国刑法修正案（十一）》实施以来，乌达区法院判处的辖区首例袭警罪案件。	negative
主要职责：开展动植物和微生物种质资源的收集保存、鉴定评价、新品种选育、育种理论方法和种养殖技术研究；	  主要职责：开展动植物和微生物种质资源的收集保存、鉴定评价、新品种选育、育种理论方法和种植养殖技术研究；	negative
为切实做好本轮降雨过程防范应对工作，安阳市防汛抗旱指挥部2021年8月30日发布通知，根据《安阳市防汛应急预案》有关规定，市防汛抗早指挥部决定自8月30日12时启动防汛Ⅳ级应急响应。	为切实做好本轮降雨过程防范应对工作，安阳市防汛抗旱指挥部2021年8月30日发布通知，根据《安阳市防汛应急预案》有关规定，市防汛抗旱指挥部决定自8月30日12时启动防汛Ⅳ级应急响应。	negative
牢固树立为人民的发展思想，结合“永远跟党走”群众性主题宣传教育活动，创新开展理论宣讲讲起来、党的旗子飘起来、小喇叭响起来、爱国歌曲唱起来、红色电影放起来、党史书籍读起来、为民事实办起来“七个起来”活动。	牢固树立为人民的发展思想，结合“永远跟党走”群众性主题宣传教育活动，创新开展理论宣讲讲起来、党的旗子飘起来、小喇叭响起来、爱国歌曲唱起来、红色电影放起来、党史书籍读起来、为民实事办起来“七个起来”活动。	negative
四川省资阳市资阳市不动产登记中心2021年档案整理服务项目竞争性磋商采购公告	四川省资阳市不动产登记中心2021年档案整理服务项目竞争性磋商采购公告	negative
习近平总书记向中国人名警察队伍授旗并致训词中强调：我国人名警察是国家重要的治安行政和刑事司法力量，	习近平总书记向中国人民警察队伍授旗并致训词中强调：我国人民警察是国家重要的治安行政和刑事司法力量，	negative
附件：1.钦州市钦州市第三次全国农作物种质资源普查与收集行动实施方案2.钦州市第三次全国畜禽遗传资源普查实施方案（2021-2023年）3.钦州市第一次全国水产养殖种质资源普查实施方案（2021-2023年）钦州市农业农村局2021年8月20日	附件：1.钦州市第三次全国农作物种质资源普查与收集行动实施方案2.钦州市第三次全国畜禽遗传资源普查实施方案（2021-2023年）3.钦州市第一次全国水产养殖种质资源普查实施方案（2021-2023年）钦州市农业农村局2021年8月20日	negative
小明殴打母亲致致伤。	小明殴打母亲致伤。	negative
强化“赋能+”思维，激发职工主管能动性。	强化“赋能+”思维，激发职工主观能动性。	negative
双方对逾期利息的利率约定为年息0%（约定利率不得低于合同订立时1年期贷款市场报价利率），未做约定的，按照每日利率万分之五的标准支付逾期利息。	双方对逾期利息的利率约定为年息0%（约定利率不得低于合同订立时1年期贷款市场报价利率），未作约定的，按照每日利率万分之五的标准支付逾期利息。	negative
民兵队伍冲在前力针对日趋严峻的防汛形势，长埫口镇武装部迅速发出动员令，130多名基干民兵队伍队伍依令而动，迅速行动起来，连日来，长埫口民兵防汛抢险队伍冲在防汛抢险最前沿，构筑起防汛大堤的坚固防线。	民兵队伍冲在前力针对日趋严峻的防汛形势，长埫口镇武装部迅速发出动员令，130多名基干民兵队伍依令而动，迅速行动起来，连日来，长埫口民兵防汛抢险队伍冲在防汛抢险最前沿，构筑起防汛大堤的坚固防线。	negative
什么是作为底图使用？川测二院地图技术审查中心刘平介绍，目前发布的地图为标准地理地图，如果用户有需求，可以加上相应的专题。	什么是作为地图使用？川测二院地图技术审查中心刘平介绍，目前发布的地图为标准地理地图，如果用户有需求，可以加上相应的专题。	negative
目前，全市森林面积382万公顷，森林覆盖率34.78%，活力木蓄积量2.62亿立方米；	目前，全市森林面积382万公顷，森林覆盖率34.78%，活立木蓄积量2.62亿立方米；	negative
十四五期间，我们将贯彻落实《行动计划》要求，聚焦重点领域，推进产业和信息化标准由“量”的规模向“质”的提升转变，以高标准促进产业经济高质量发展。	“十四五”期间，我们将贯彻落实《行动计划》要求，聚焦重点领域，推进产业和信息化标准由“量”的规模向“质”的提升转变，以高标准促进产业经济高质量发展。	negative
1.嘉兴欧新光电科技有限公司安全设备安装、使用、检测、改造和报废不符合标准案、未按规定制定应急预案案	1.嘉兴欧新光电科技有限公司安全设备安装、使用、检测、改造和报废不符合标准案、未按规定制定应急预案	negative
在“不忘初心、牢记使命、党史学习”主题教育中，要引导全乡广大党员干部重温初心、担当使命、克难攻坚、低砺奋进；	在“不忘初心、牢记使命、党史学习”主题教育中，要引导全乡广大党员干部重温初心、担当使命、克难攻坚、砥砺奋进；	negative
永宁大道因提升改造，半辐通行，过往车辆不要加塞、违法超车，以免造成车辆拥堵。	永宁大道因提升改造，半幅通行，过往车辆不要加塞、违法超车，以免造成车辆拥堵。	negative
同时，加强与媒体的沟通和联系，强化与论引导，对典型案件予以公开曝光，警示经营者，提醒消费者，着力构建公开公平竟争有序的市场价格环境。	同时，加强与媒体的沟通和联系，强化舆论引导，对典型案件予以公开曝光，警示经营者，提醒消费者，着力构建公开公平竟争有序的市场价格环境。	negative
开展集中学习教育，结合实际采取召开座谈、上微党课等方式提高活动的实效性。	开展集中学习教育，结合实际采取召开座谈会、上微党课等方式提高活动的实效性。	negative
会议要求，全县非公经济人士要将学习贯彻习近平总书记“七一”重要重要讲话精神与县委十五届十五次全会精神有机融合起来，统筹学习、融会贯通，深刻领悟习近平总书记“七一”重要讲话和全会精神实质，始终坚定不移“听党话、跟党走”。	会议要求，全县非公经济人士要将学习贯彻习近平总书记“七一”重要讲话精神与县委十五届十五次全会精神有机融合起来，统筹学习、融会贯通，深刻领悟习近平总书记“七一”重要讲话和全会精神实质，始终坚定不移“听党话、跟党走”。	negative
对5个旧有机场的改造也近尾声。	对5个旧有机场的改造也接近尾声。	negative
2、优良的工具可以事半工倍工欲善其事,必先利其器。	2、优良的工具可以事半功倍工欲善其事,必先利其器。	negative
神州大地万家灯火，一家一户的齐心协力、千家万户的携手同心，加起来便是九百六十万平方公里的复兴气象。	神州大地万家灯火，一家一户的齐心协力、千家万户的携手同心，加起来便是九百六十多万平方公里的复兴气象。	negative
在卢攀峰的带动下，村“两委”班子成员齐心发力，包括48户建档立卡低收入户在内的192户农户，纷纷响应加入合作社，累计筹集入股资金43万元，登丰土地股份专业合作社和农机合作社顺利开张。	在卢攀峰的带动下，村“两委”班子成员齐心协力，包括48户建档立卡低收入户在内的192户农户，纷纷响应加入合作社，累计筹集入股资金43万元，登丰土地股份专业合作社和农机合作社顺利开张。	negative
5.被吊销律师、公证员职业证书的；	5.被吊销律师、公证员执业证书的；	negative
近日，经省委政法委原驻大柏地扶贫工作队和乡村振兴工作队共同商议，决定联合大柏地村两委班子组织开展募捐活动，积极动员驻村工作队员和村两位班子成员向马永陆捐资献爱心。	近日，经省委政法委原驻大柏地扶贫工作队和乡村振兴工作队共同商议，决定联合大柏地村两委班子组织开展募捐活动，积极动员驻村工作队员和村两委班子成员向马永陆捐资献爱心。	negative
沣西新城将紧扣秦创原创新驱动平台总窗口建设，围绕产业结构优化、能源结构调整、绿色低碳技术研发推广、创新绿色金融等多点发力，推进近零碳排放示范工程和“碳中和”示范区建设，为实现“双碳”目标贡献力量。	沣西新城将紧扣秦创原创新驱动平台总窗口建设，围绕产业结构优化、能源结构调整、绿色地毯技术研发推广、创新绿色金融等多点发力，推进近零碳排放示范工程和“碳中和”示范区建设，为实现“双碳”目标贡献力量。	negative
仓山法院荣获全国“青少年维权岗”，一起来看这份“修炼手册”】近年来，福州市仓山区人民法院始终坚持对未成年人“特殊、优先”司法保护理念和“教育为主、惩罚为铺”原则，主动介入、多措并举，切实维护青少年合法权益，帮助青少年树立法治意识，为青少年健康成长保驾护航。	仓山法院荣获全国“青少年维权岗”，一起来看这份“修炼手册”】近年来，福州市仓山区人民法院始终坚持对未成年人“特殊、优先”司法保护理念和“教育为主、惩罚为辅”原则，主动介入、多措并举，切实维护青少年合法权益，帮助青少年树立法治意识，为青少年健康成长保驾护航。	negative
过去的一年，我们坚决贯彻党中央决策部署，扎实推动“三农”各项任务落地见效，脱贫攻坚成果有效巩固拓展，农产品保供和特色产业提质齐头并进，乡村建设行动迈出坚实步伐，农村发展动力活力显著增强，实现“十四五”良好开局。	过去的一年，我们坚决贯彻落实党中央决策部署，扎实推动“三农”各项任务落地见效，脱贫攻坚成果有效巩固拓展，农产品保供和特色产业提质齐头并进，乡村建设行动迈出坚实步伐，农村发展动力活力显著增强，实现“十四五”良好开局。	negative
品目号品目名称采购标的数量（单位）技术规格、参数及要求品目预算(元)最高限价(元)1-1越野车越野车2(台)详见采购文件400,	品目号品目名称采购标的数量（单位）技术规格、参数及要求品目预算(元)最高限价(元)1-1越野车2(台)详见采购文件400,	negative
各供应供应商代表应携带居民身份证及加盖所在单位公章的《开评标人员健康信息登记表》（详见附件）入场，为控制开标厅人数，每家供应商仅允许１人进入开标厅，并请各供应商代表提前１小时到达开标厅。	各供应商代表应携带居民身份证及加盖所在单位公章的《开评标人员健康信息登记表》（详见附件）入场，为控制开标厅人数，每家供应商仅允许１人进入开标厅，并请各供应商代表提前１小时到达开标厅。	negative
定日期2021-09-03许可截止日期2025-09-02居民身份证号项目名称道路运输经营许可证许可内容道路普通货物运输经营许可许可机关鄂城区住建局状态有效来源单位鄂城区住建局数据更新时间戳2021-09-03地方编码420704备注证照为鄂城区住建(交通	定日期2021-09-03许可截止日期2025-09-02居民身份证号项目名称道路运输经营许可证许可内容道路普通货物运输经营许可机关鄂城区住建局状态有效来源单位鄂城区住建局数据更新时间戳2021-09-03地方编码420704备注证照为鄂城区住建(交通	negative
供应商名称 供应商地址 中标（成交）金额     齐齐哈尔畅杨保洁有限公司 黑龙江省齐齐齐哈尔市梅里斯达斡尔族区红梅委  335,	供应商名称 供应商地址 中标（成交）金额     齐齐哈尔畅杨保洁有限公司 黑龙江省齐齐哈尔市梅里斯达斡尔族区红梅委  335,	negative
屏山县行政审批和非公经济局政务服务股工作员黄英说，2021年，他们一共办理了264件（川渝通办）业务。	屏山县行政审批和非公经济局政务服务股工作人员黄英说，2021年，他们一共办理了264件（川渝通办）业务。	negative
上下一条线，靶向发力准，南川区全面开展环境优美好风景、乐助邻睦好风气、忠孝勤俭好风俗、健康奋进好风貌、诚信崇德好风尚文明素质“五风”塑造行动，一项项举措有条不紊，行及有效。	  上下一条线，靶向发力准，南川区全面开展环境优美好风景、乐助邻睦好风气、忠孝勤俭好风俗、健康奋进好风貌、诚信崇德好风尚文明素质“五风”塑造行动，一项项举措有条不紊，行之有效。	negative
切实把党的领导效能有效转化转化为司法治理效能。二是充分发挥法院工作职能，	切实把党的领导效能有效转化为司法治理效能。二是充分发挥法院工作职能，	negative
与合川区社保中心一样，各区县积极拓展社会资源开展第三方资格认证，利用银行和邮政的分布优势，在部分银行ATM服务区和邮政服务大厅设置认证点，并对相关银行工作人员进行引导服务培训，实现资格认证服务“24×7×365”全年无休办。	  与合川区社保中心一样，各区县积极拓展社会资源开展第三方资格认证，利用银行和邮政的分布优势，在部分银行ATM服务区和邮政服务大厅设置认证点，并对相关银行工作人员进行引导服务培训，实现资格认证服务“24×7×365”全年无休办理。	negative
专项清查活动得到得到了中央扫黑除恶督导组的充分肯定。	专项清查活动得到了中央扫黑除恶督导组的充分肯定。	negative
”作为党员干部，要以不畏艰险、一往不前的韧劲，勇敢拼搏、一以贯之的干劲和“我将无我，不负人民”的精神，坚决将人民至上的理念贯彻到实际行动中去，真正用好人民赋予的权力，办好人民的事。	”作为党员干部，要以不畏艰险、一往无前的韧劲，勇敢拼搏、一以贯之的干劲和“我将无我，不负人民”的精神，坚决将人民至上的理念贯彻到实际行动中去，真正用好人民赋予的权力，办好人民的事。	negative
翟某某同意该微信好友申请后，这位“党委书记”先是虚寒问暖，随后表示请翟某某帮其转款20万。	翟某某同意该微信好友申请后，这位“党委书记”先是嘘寒问暖，随后表示请翟某某帮其转款20万。	negative
点击项目最右测的+符号，	点击项目最右侧的+符号，	negative
一园子的翠绿，一园子的繁花，一园子的瓜架菜秧，都被雨水浸透了。	一院子的翠绿，一院子的繁花，一院子的瓜架菜秧，都被雨水浸透了。	negative
（二）投标保证金缴纳缴纳金额：壹万元整（￥：10000.00元）缴纳方式：（下列方式任选一种）1、投标人必须从基本账户以网银、手机银行、电汇或支票转账等方式缴纳至武威市公共资源交易中心开设账户。	（二）投标保证金缴纳金额：壹万元整（￥：10000.00元）缴纳方式：（下列方式任选一种）1、投标人必须从基本账户以网银、手机银行、电汇或支票转账等方式缴纳至武威市公共资源交易中心开设账户。	negative
逾期未提出的，视为放弃申述权利。	逾期未提出的，视为放弃申诉权利。	negative
主要原因：新增新增国家赔偿支出和诉讼服务中心信息化改造、科技法庭改造、海南自贸港知识产权法院建设等项目预算支出。	主要原因：新增国家赔偿支出和诉讼服务中心信息化改造、科技法庭改造、海南自贸港知识产权法院建设等项目预算支出。	negative
有些还会损伤动物的干脏。pstyle="	有些还会损伤动物的肝脏。pstyle="	negative
03破解维权难宁波探索值得期待如何有效治理预付式消费出现的问题？业内认识指出，解决预付卡问题，关键在推动关口前移，强化“政府引导、企业参与、市场化运作”机制，落实好商户预付资金管理制度。	03破解维权难宁波探索值得期待如何有效治理预付式消费出现的问题？业内人士指出，解决预付卡问题，关键在推动关口前移，强化“政府引导、企业参与、市场化运作”机制，落实好商户预付资金管理制度。	negative
同时，广泛征求各方面意见，对培养人进行了解，反坚持十六字总要求，切实做到成熟一个发展一个。	同时，广泛征求各方面意见，对培养人进行了解，应坚持十六字总要求，切实做到成熟一个发展一个。	negative
117组织架构相关内容不纳入公司层面评价范围评价组织架构是内部环境的重要组成部分，直接影响内部控制的建立键全和有效实施、应当纳入公司层面评价范围。	117组织架构相关内容不纳入公司层面评价范围评价组织架构是内部环境的重要组成部分，直接影响内部控制的建立健全和有效实施、应当纳入公司层面评价范围。	negative
“好民警，为人和善、处事公到！	“好民警，为人和善、处事公道！	negative
由八宝镇往板蚌方向行驶行驶至八宝至板蚌1公里100米大滩路段时，	由八宝镇往板蚌方向行驶至八宝至板蚌1公里100米大滩路段时，	negative
顺应企业唿声，参照新修订的《行政处罚法》相关要求，规定了行政处罚决定被依法变更、撤销、确认违法或者确认无效后，撤回行政处罚信息公示的制度。	顺应企业呼声，参照新修订的《行政处罚法》相关要求，规定了行政处罚决定被依法变更、撤销、确认违法或者确认无效后，撤回行政处罚信息公示的制度。	negative
注销手续复杂烦琐、耗时耗力，有的经营者法律意识淡薄、诚信意识较弱，再加上股东之间存在矛盾和纠纷，很多公司放弃办理注销而成为“僵尸企业”。	注销手续复杂繁琐、耗时耗力，有的经营者法律意识淡薄、诚信意识较弱，再加上股东之间存在矛盾和纠纷，很多公司放弃办理注销而成为“僵尸企业”。	negative
3tq本次新城镇城镇居民区畜禽养殖禁养区以《新兴县城市总体规划修编（20133tq3tq—3tq3tq2035年）》为基础，根据新城镇近期建设规划范围识别结果，确定新城镇城镇居民区畜禽养殖禁养区边界范围。	3tq本次新城镇居民区畜禽养殖禁养区以《新兴县城市总体规划修编（20133tq3tq—3tq3tq2035年）》为基础，根据新城镇近期建设规划范围识别结果，确定新城镇居民区畜禽养殖禁养区边界范围。	negative
——8月11日至9月2日南京市生态环境局坚持定期调度督促园区限值限值工作推进，会同市环科院及特邀专家分组、分批次现场走访全市省级以上产业园区，现场踏勘和调研园区限值限量推进进展、存在的问题，开展针对性指导。	——8月11日至9月2日南京市生态环境局坚持定期调度督促园区限值工作推进，会同市环科院及特邀专家分组、分批次现场走访全市省级以上产业园区，现场踏勘和调研园区限值限量推进进展、存在的问题，开展针对性指导。	negative
强阵地创品牌，    红色动能优生态    近日，在白下高新区核心区的50多栋楼宇内，显目位置张贴了党建指导员、企业服务员名单和联系方式。	    强阵地创品牌，    红色动能优生态    近日，在白下高新区核心区的50多栋楼宇内，醒目位置张贴了党建指导员、企业服务员名单和联系方式。	negative
学生乘坐校车通常存在哪些安全隐患？跟着阿消学习下，把这些注意事项记记牢！	学生乘坐校车通常存在哪些安全隐患？跟着阿消学习下，把这些注意事项记牢！	negative
线上受理个人量住房办税业务占总増量房办理业务的30%。palign=""	线上受理个人量住房办税业务占总增量房办理业务的30%。palign=""	negative
揚州市召開第十七場新冠肺炎疫情防控新聞發布會向定點醫療机构首批預付1億元滿足市民日常就診所需	揚州市召開第十七場新冠肺炎疫情防控新聞發布會向定點醫療机构首批预付1億元滿足市民日常就診所需	negative
“看到其它部门都纷纷完成任务后，我们的同志都憋着一鼓劲。	“看到其它部门都纷纷完成任务后，我们的同志都憋着一股劲。	negative
第一应急分队 对板桥镇李家辿1#滑坡、薛峰村崩塌及牛家岭崩塌等地质灾害点地质灾害隐患点进行排查，督促群众撒离到安全地带。	第一应急分队 对板桥镇李家辿1#滑坡、薛峰村崩塌及牛家岭崩塌等地质灾害点地质灾害隐患点进行排查，督促群众撤离到安全地带。	negative
现在有老师教刘泽举唱歌，他希望以后唱歌学习俩不误，考上中央戏剧学院和偶像李玉刚同台表演。	现在有老师教刘泽举唱歌，他希望以后唱歌学习两不误，考上中央戏剧学院和偶像李玉刚同台表演。	negative
这第一次見面就让我们顿生好感，这个警官真棒！	这第一次见面就让我们顿生好感，这个警官真棒！	negative
闽江学院闽江学院2021年行政办公家具货物类采购项目合同公告（合同包[350100]HW[GK]2021004_1_91350104MA349H3X0T_823）	闽江学院2021年行政办公家具货物类采购项目合同公告（合同包[350100]HW[GK]2021004_1_91350104MA349H3X0T_823）	negative
中白双边贸易额2020年增长10.7%，今年上半年同比增长50.6%。	中日双边贸易额2020年增长10.7%，今年上半年同比增长50.6%。	negative
该群众开心得不亦可乎，对张警官服务态度连连称赞。	该群众开心得不亦乐乎，对张警官服务态度连连称赞。	negative
会议要求，各单位党组织要高度重视，把推荐提名工作作为重要政治任务，切实加强组织领导，精心谋划、周密安排、统筹推进，指定政治可靠、公平正道、业务熟悉、作风过硬的同志负责推荐工作。	会议要求，各单位党组织要高度重视，把推荐提名工作作为重要政治任务，切实加强组织领导，精心谋划、周密安排、统筹推进，指定政治可靠、公平正直、业务熟悉、作风过硬的同志负责推荐工作。	negative
在他身上我感受到了嫉恶如仇的青年热血，也了解到了”余年无骗“的从警梦想。	在他身上我感受到了疾恶如仇的青年热血，也了解到了”余年无骗“的从警梦想。	negative
